Kmax,Ku,n,halfmax,Vhalf,slope
0.313,0.766,1.039,350.7,-162.9,0.0008925
0.2219,0.9528,2,38700,-82.47,5.734e-06
0.2379,0.7715,1.219,1563,-42.05,0.0001522
0.2871,0.7075,1.597,4906,-123.6,5.852e-05
0.2385,0.9704,1.544,3754,-44,6.353e-05
0.2092,0.9869,2,29810,-35.08,7.018e-06
0.2195,0.7824,2,48830,-41.06,4.495e-06
0.6067,0.9022,0.5,70.48,-148.4,0.008608
0.278,0.995,0.9524,286,-72.84,0.000972
0.2535,0.95,2,56640,-31.52,4.476e-06
0.2572,0.9338,2,37340,-36.41,6.888e-06
0.2519,0.9992,1.408,4197,-37.43,6.002e-05
0.2521,0.9999,2,74320,-40.27,3.392e-06
0.3163,0.8462,0.8962,217.7,-168.8,0.001453
0.1866,0.8124,1.871,29540,-1,6.317e-06
0.2195,0.7824,2,48830,-41.06,4.495e-06
0.4982,0.9614,0.5712,76.1,-73.54,0.006547
0.2709,0.9948,2,37300,-58.15,7.263e-06
0.2307,0.9999,2,44900,-72.88,5.138e-06
0.2489,0.9996,2,48670,-42.9,5.114e-06
0.2705,0.9996,2,70410,-51.64,3.842e-06
84090000,1.016e-09,0.7571,7115000,-1.011,11.82
0.2732,1,1.889,26910,-44.52,1.015e-05
0.2178,0.9657,2,29600,-66.28,7.358e-06
55220000,1.078e-09,0.8799,12780000,-1.915,4.321
0.2386,0.9091,2,85910,-5.654,2.777e-06
0.2655,0.9,1.413,5781,-36.03,4.593e-05
0.2423,0.9999,2,33090,-35.47,7.322e-06
0.2591,0.9987,1.998,44720,-78.14,5.794e-06
0.2183,0.9984,2,19080,-71.27,1.144e-05
0.1928,0.7341,2,72090,-1.028,2.674e-06
0.2927,0.9961,2,47950,-39.03,6.104e-06
0.2406,0.9033,1.845,21640,-36.56,1.112e-05
