Kmax,Ku,n,halfmax,Vhalf,slope
0.5824,0.0009817,2,9526,-6.307,6.114e-05
541300,0.0005877,0.7985,77640000,-69.13,0.006972
2.513,3.129e-05,0.9845,435.5,-163.6,0.00577
0.5885,0.0007911,2,7635,-7.494,7.708e-05
1.118,0.0001521,1.502,2667,-5.477,0.0004192
1.819,0.001206,0.8088,163.9,-73.91,0.0111
2156000,0.0005659,0.9948,944700000,-7.923,0.002282
186700,0.0005464,0.9692,91160000,-2.022,0.002048
655500,0.000547,0.953,291100000,-2.432,0.002252
4.353,0.01957,0.5,127.2,-74.83,0.03422
1.536,0.0006947,0.9386,339.6,-3.631,0.004523
1403000,0.0006086,0.9693,621900000,-72.56,0.002256
655500,0.000547,0.953,291100000,-2.432,0.002252
4208000,0.0006625,0.8374,816300000,-67.49,0.005155
1.16,0.0008817,1.479,1945,-77.75,0.0005964
5.253,0.001038,0.7634,607.7,-93.24,0.008644
5.249,0.001015,0.7784,680,-88.51,0.007719
1.124,0.003262,0.6669,63.78,-2.771,0.01762
3977000,0.000692,0.8609,895900000,-70.63,0.004439
0.8114,0.005651,1.698,2493,-139.8,0.0003255
813900,0.0005387,1.055,699200000,-6.015,0.001164
1.036,0.8699,1.029,192.1,-78.6,0.005393
162700,0.001331,0.6088,10550000,-2.646,0.01542
920600,0.0005442,1.129,930500000,-10.8,0.0009894
448200,0.0004721,1.223,776200000,-65.48,0.0005774
1.066,0.004472,0.7234,68.47,-7.745,0.01557
1.077,0.003952,1.033,411.4,-66.8,0.002618
1.82,2.585e-05,1.561,3178,-162.2,0.0005727
26720,0.001448,0.571,1160000,-77.88,0.02303
2.627,0.0001983,1.048,1473,-4.403,0.001783
1.665,0.0008492,0.9835,524.9,-4.644,0.003172
626500,0.0008707,0.7375,93920000,-6.402,0.006671
59450,0.0007704,0.9018,25730000,-9.027,0.002311
161900,0.0006145,0.9159,49080000,-69.02,0.003299
3.904,3.169e-05,0.8176,362.7,-169.7,0.01076
2.791,0.0001992,0.9788,1071,-3.33,0.002606
0.9842,0.8257,1.275,590,-91.34,0.001668
0.7988,0.002547,1.303,659.8,-12.21,0.001211
1.679,0.002617,0.5,51.29,-10.41,0.03274
0.6383,0.001112,2,10610,-60.43,6.016e-05
1270000,0.001179,0.5221,41200000,-76.2,0.03083
373500,0.0008915,0.5906,22280000,-2.067,0.01676
115200,0.0006307,0.7653,12790000,-66.18,0.009007
3.08,0.001112,0.6728,179.5,-72.81,0.01716
30980,0.0001838,0.7807,5077000,-6.527,0.006102
1302000,0.0005233,0.8364,264600000,-3.545,0.004921
121200,0.0005459,0.9154,35630000,-73.02,0.003402
0.6634,0.0008402,2,9232,-10.14,7.186e-05
820400,0.0005276,0.8453,178300000,-5.907,0.004601
0.5971,0.000752,2,8799,-64.03,6.786e-05
232400,0.0006012,0.8756,53860000,-69.21,0.004315
0.9809,0.003988,0.9571,178.2,-65.33,0.005504
323600,0.0007819,0.6967,33020000,-21.79,0.0098
0.6711,0.001381,2,7922,-66.19,8.471e-05
1436000,0.0001922,0.7577,218200000,-3.162,0.006581
2.814,0.008443,0.5001,89.19,-67.23,0.03155
0.8391,0.003793,0.9177,93.17,-68.08,0.009006
2.291,0.001201,0.9536,616.5,-88.41,0.003716
11.46,0.0007347,0.6635,976.3,-3.47,0.01174
1.426,0.001029,1.254,1218,-83.05,0.001171
0.6359,0.0008431,2,10850,-13.59,5.861e-05
784400,0.0005211,0.924,291200000,-3.129,0.002694
312100,0.0001715,0.6975,30490000,-4.809,0.01024
