Kmax,Ku,n,halfmax,Vhalf,slope
1.626,1.467e-05,2,5029,-119.3,0.0003233
1.276,6.123e-05,1.315,501.5,-77.08,0.002544
1.386,2.628e-05,2,11190,-46.03,0.0001239
45960,1.759e-05,0.9752,10810000,-155,0.004252
1.043,6.368e-05,2,17310,-62.63,6.025e-05
1.679,2.297e-05,2,25960,-156.6,6.468e-05
33.15,2.963e-05,0.9901,11200,-166.4,0.00296
232000,6.445e-05,0.9945,93200000,-1.002,0.002489
8.615,1.946e-05,0.6571,258.8,-100.4,0.03329
715700,5.704e-05,0.593,26720000,-67.36,0.02679
1.584,1.541e-05,1.819,1745,-115.7,0.0009077
2.269,1.145e-05,2,12130,-100.8,0.0001871
139300,0.000125,0.827,22400000,-1,0.006219
7.048,0.0001547,0.8355,1013,-1,0.006958
1.561,1.254e-05,2,5296,-147.3,0.0002948
2.832,2.613e-05,0.7837,133.1,-80.8,0.02128
1.202,3.106e-05,1.54,1147,-148.4,0.001048
1.055,6.223e-05,1.996,16510,-65.14,6.39e-05
1.54,6.996e-05,0.9627,225.3,-50.6,0.006835
2.093,1.244e-05,1.896,14800,-121.8,0.0001414
1.566,0.0001298,1.998,114900,-1.001,1.363e-05
0.9395,9.528e-05,1.573,1372,-1,0.0006848
1.151,3.071e-05,1.788,3175,-166.9,0.0003625
1.533,3.397e-05,0.9219,109,-150.6,0.01406
3.992,1.403e-05,1.065,773.2,-163.9,0.005163
1.074,2.841e-05,1.998,19610,-1.006,5.477e-05
1.548,1.44e-05,1.533,1094,-55.6,0.001415
2.016,2.188e-05,1.096,416.2,-148.8,0.004844
131.2,1.001e-05,0.7157,4228,-83.32,0.03103
1.531,1.99e-05,1.475,1348,-178,0.001136
69.38,0.0001298,0.9787,26690,-1,0.002599
2.399,1.211e-05,1.32,1086,-83.75,0.002209
247400,1.373e-05,1.002,51140000,-115.8,0.004838
1.212,2.048e-05,2,3490,-151,0.0003473
34690,1.866e-05,0.6827,1618000,-164,0.02144
20120,0.0001398,0.9017,5038000,-1,0.003994
1.054,0.005179,1.953,24990,-1,4.218e-05
1.166,0.0001673,2,43420,-1.001,2.685e-05
1.406,2.006e-05,2,14650,-171.3,9.597e-05
1262000,1.173e-05,0.8109,91270000,-104.6,0.01383
1.651,2.12e-05,1.919,13520,-148,0.0001221
1.678,2.091e-05,2,22830,-141,7.35e-05
84470,0.0001437,0.8867,19410000,-1,0.004352
6066,1.374e-05,0.9992,1234000,-115.9,0.004916
2.275,1.147e-05,2,12200,-102.8,0.0001865
2.304,1.963e-05,1.015,252.2,-125.1,0.009136
451.5,6.041e-05,0.7025,33700,-43.39,0.0134
